"""",prerequisites,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",NULL,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",trained in Nature,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",trained in at least one skill,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",Intelligence 12,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",trained in Acrobatics,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",expert in Acrobatics,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",master in Acrobatics,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",trained in Arcana,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",trained in a skill with the Recall Knowledge action,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""","trained in Arcana, Nature, Occultism, or Religion",""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""","expert in a skill with the Recall Knowledge action, Assurance in that skill",""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""","expert in Arcana, Nature, Occultism, or Religion",""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""","master in Arcana, Nature, Occultism, or Religion; Recognize Spell",""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",legendary in Arcana,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",trained in Athletics,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",Charisma 16,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",expert in Athletics,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",master in Athletics,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",legendary in Athletics,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",trained in Crafting,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",expert in Crafting,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""","master in Crafting, Specialty Crafting",""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",master in Crafting,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",legendary in Crafting,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",trained in Deception,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",expert in Deception,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",master in Deception,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",trained in Diplomacy,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",expert in Diplomacy,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",master in Diplomacy,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",legendary in Diplomacy,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",trained in Intimidation,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""","Strength 16, expert in Intimidation",""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",expert in Intimidation,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",master in Intimidation,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",legendary in Intimidation,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",trained in Medicine,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",expert in Medicine,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",legendary in Medicine,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",expert in Nature,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",master in Occultism,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",trained in Performance,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""","legendary in Performance, Virtuosic Performer",""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",legendary in Religion,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",trained in Society,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",legendary in Society,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",trained in Stealth,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",expert in Stealth,""" => new PrerequisiteModel { Type = """", Properties = """" },"
"""",master in Stealth,""" => new PrerequisiteModel { Type = """", Properties = """" },"
